Designator,Mid X,Mid Y,Layer,Rotation
C6,32.77,37.85,Top,180
C7,38.48,37.72,Top,0
C8,7.24,24.26,Top,180
C9,32.77,29.46,Top,180
C10,38.35,29.46,Top,0
D1,42.04,4.32,Top,90
D3,22.86,4.32,Top,90
IC1,35.56,26.29,Top,0
IC2,35.56,41.27,Top,180
IC3,11.18,30.99,Top,90
R1,42.04,7.87,Top,270
R2,15.49,24.38,Top,180
R3,22.86,7.87,Top,270
R4,8.38,20.07,Top,270
R5,10.92,20.07,Top,270
R6,32.77,31.75,Top,180
R7,38.35,31.75,Top,0
R8,3.68,29.08,Top,0
R9,3.68,32.89,Top,0
R10,18.03,31.62,Top,0
R11,13.46,20.07,Top,270
R12,5.84,20.07,Top,270
R13,20.45,27.81,Top,0
R14,20.45,23.37,Top,0
R15,12.45,38.61,Top,90
R16,9.91,38.61,Top,90
R17,7.24,38.61,Top,90
R18,15.37,38.61,Top,90