Qty,Designator,Footprint,Comment,LCSC Part # (optional),Description (optional)
5,"C6, C7, C8, C9, C10",C0603,100nF 50V X7R,C14663,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 100NF 50V 0603 ROHS
6,"R13, R14, R15, R16, R17, R18",R0603,300Ω 1%,C23025,CHIP RESISTOR - SURFACE MOUNT 300OHMS ±1% 1/10W 0603 ROHS
2,"R1, R3",R0603,4.7KΩ 1%,C23162,CHIP RESISTOR - SURFACE MOUNT 4.7KOHMS ±1% 1/10W 0603 ROHS
10,"R2, R4, R5, R6, R7, R8, R9, R10, R11, R12",R0603,47KΩ 1%,C25819,CHIP RESISTOR - SURFACE MOUNT 47KOHMS ±1% 1/10W 0603 ROHS
2,"D1, D3",CHIP-LED0603,GREEN,C72043,LIGHT EMITTING DIODES (LED) GREEN 520~535NM 112~258MCD@20MA TOP VIEW 0603 ROHS
1,IC3,SOIC-16_3.9x9.9x1.27P,"74HC157D,653",C5609,74 SERIES MULTIPLEXERS 2V ~ 6V SOIC-16_150MIL ROHS
2,"IC1, IC2",SM-8_2.8x3.0x0.65P,SN74LVC2T45DCTR,C22672,74 SERIES 1 1.65V ~ 5.5V SM8 ROHS
1,J1,1x08_ROUND,pin header,Do not populate,
2,"J2, J3",MD80SGK,MD-80SGK,Do not populate,
1,JP3,1X12_ROUND,pin header,Do not populate,
1,JP1,1X16_ROUND,pin header,Do not populate,